ภาค,จังหวัด,ประเภทคดีอาชญากรรม,ประเภทความผิด,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559,,
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,บาดเจ็บ,13,5,6,3,3,7,3,8,5,18,,
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,ไม่บาดเจ็บ,17,25,14,18,8,12,27,14,6,10,,
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,ปล้นทรัพย์,19,18,8,5,10,10,4,8,4,3,,
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,รับของโจร,2,3,5,2,2,6,6,8,9,9,,
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,ทำให้เสียทรัพย์,61,48,52,42,31,37,44,30,41,46,,
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,รวม,722,785,498,645,515,519,541,454,324,402,,
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,ลักทรัพย์,593,676,414,559,452,458,445,384,269,328,,
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,วิ่งราวทรัพย์,54,39,27,37,26,27,45,32,27,21,,
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,รีดเอาทรัพย์,0,0,1,0,0,0,0,1,0,0,,
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,กรรโชกทรัพย์,0,2,1,2,0,1,5,0,2,3,,
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,ชิงทรัพย์ (รวม),23,19,15,16,8,10,15,12,5,19,,
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,บาดเจ็บ,7,3,3,1,2,3,1,3,2,10,,
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,ไม่บาดเจ็บ,16,16,12,15,6,7,14,9,3,9,,
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,ปล้นทรัพย์,16,15,7,4,8,9,3,4,2,3,,
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,รับของโจร,2,3,5,2,2,4,4,6,4,8,,
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,ทำให้เสียทรัพย์,34,31,28,25,19,10,24,15,15,20,,
