ภาค,จังหวัด,ประเภทคดีอาชญากรรม,ประเภทความผิด,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559
ภาคกลาง,สิงห์บุรี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,5,11,5,2,3,3,6,2,2,3
ภาคกลาง,สิงห์บุรี,จับกุม,ฆ่าผู้อื่นโดยไม่เจตนา,2,1,0,0,1,0,4,1,1,0
ภาคกลาง,สิงห์บุรี,จับกุม,ทำให้ตายโดยประมาท,0,0,0,0,0,3,0,0,0,0
ภาคกลาง,สิงห์บุรี,จับกุม,พยายามฆ่า,8,7,7,12,7,4,5,5,3,6
ภาคกลาง,สิงห์บุรี,จับกุม,ทำร้ายร่างกาย,74,59,45,33,32,44,31,22,26,43
ภาคกลาง,สิงห์บุรี,จับกุม,ข่มขืนกระทำชำเรา,11,5,2,7,1,8,5,4,4,5
ภาคกลาง,ชัยนาท,รับแจ้ง,รวม,265,176,165,200,145,137,152,119,132,97
ภาคกลาง,ชัยนาท,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,26,12,18,18,15,16,10,8,3,11
ภาคกลาง,ชัยนาท,รับแจ้ง,ฆ่าผู้อื่นโดยไม่เจตนา,0,3,0,2,2,0,0,2,3,4
ภาคกลาง,ชัยนาท,รับแจ้ง,ทำให้ตายโดยประมาท,0,2,0,0,1,0,1,2,3,5
ภาคกลาง,ชัยนาท,รับแจ้ง,พยายามฆ่า,43,28,21,26,22,18,17,18,16,8
ภาคกลาง,ชัยนาท,รับแจ้ง,ทำร้ายร่างกาย,164,111,109,114,77,82,100,69,92,58
ภาคกลาง,ชัยนาท,รับแจ้ง,ข่มขืนกระทำชำเรา,32,20,17,40,28,21,24,20,15,11
ภาคกลาง,ชัยนาท,จับกุม,รวม,125,86,94,129,83,90,101,52,68,73
ภาคกลาง,ชัยนาท,จับกุม,ฆ่าผู้อื่นโดยเจตนา,17,6,8,15,9,13,8,5,3,9
ภาคกลาง,ชัยนาท,จับกุม,ฆ่าผู้อื่นโดยไม่เจตนา,0,3,0,1,2,0,0,2,1,4
ภาคกลาง,ชัยนาท,จับกุม,ทำให้ตายโดยประมาท,0,1,0,0,1,0,1,0,2,3
ภาคกลาง,ชัยนาท,จับกุม,พยายามฆ่า,19,10,10,13,13,12,11,8,6,6
ภาคกลาง,ชัยนาท,จับกุม,ทำร้ายร่างกาย,77,57,68,82,42,50,66,28,49,43
ภาคกลาง,ชัยนาท,จับกุม,ข่มขืนกระทำชำเรา,12,9,8,18,16,15,15,9,7,8
ภาคกลาง,สระบุรี,รับแจ้ง,รวม,473,479,423,390,277,311,350,250,262,253
ภาคกลาง,สระบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,42,38,48,34,22,31,31,14,11,27
ภาคกลาง,สระบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยไม่เจตนา,7,11,5,7,9,9,9,10,5,3
ภาคกลาง,สระบุรี,รับแจ้ง,ทำให้ตายโดยประมาท,4,4,8,3,2,2,3,4,4,3
ภาคกลาง,สระบุรี,รับแจ้ง,พยายามฆ่า,102,89,54,73,51,51,71,36,30,36
ภาคกลาง,สระบุรี,รับแจ้ง,ทำร้ายร่างกาย,244,260,241,187,141,159,173,142,170,151
ภาคกลาง,สระบุรี,รับแจ้ง,ข่มขืนกระทำชำเรา,74,77,67,86,52,59,63,44,42,33
ภาคกลาง,สระบุรี,จับกุม,รวม,238,232,224,190,112,142,179,104,110,146
ภาคกลาง,สระบุรี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,27,23,28,18,10,21,23,9,9,22
ภาคกลาง,สระบุรี,จับกุม,ฆ่าผู้อื่นโดยไม่เจตนา,2,7,3,7,5,7,8,9,3,2
ภาคกลาง,สระบุรี,จับกุม,ทำให้ตายโดยประมาท,2,4,6,1,1,1,2,4,1,3
ภาคกลาง,สระบุรี,จับกุม,พยายามฆ่า,50,36,27,35,19,29,36,19,17,25
ภาคกลาง,สระบุรี,จับกุม,ทำร้ายร่างกาย,123,129,132,86,55,70,81,45,60,76
ภาคกลาง,สระบุรี,จับกุม,ข่มขืนกระทำชำเรา,34,33,28,43,22,14,29,18,20,18
ภาคกลาง,ชลบุรี,รับแจ้ง,รวม,"1,090","1,047","1,032",862,715,688,646,819,723,575
ภาคกลาง,ชลบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,129,138,94,103,85,92,85,73,48,52
ภาคกลาง,ชลบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยไม่เจตนา,24,17,14,9,19,24,33,37,33,21
ภาคกลาง,ชลบุรี,รับแจ้ง,ทำให้ตายโดยประมาท,2,6,4,3,7,4,8,6,5,1
ภาคกลาง,ชลบุรี,รับแจ้ง,พยายามฆ่า,177,148,158,135,113,118,127,103,110,67
ภาคกลาง,ชลบุรี,รับแจ้ง,ทำร้ายร่างกาย,602,542,559,449,349,330,286,504,418,367
ภาคกลาง,ชลบุรี,รับแจ้ง,ข่มขืนกระทำชำเรา,156,196,203,163,142,120,107,96,109,67
ภาคกลาง,ชลบุรี,จับกุม,รวม,434,413,472,428,308,320,385,600,535,412
ภาคกลาง,ชลบุรี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,53,63,46,71,36,48,54,48,40,45
ภาคกลาง,ชลบุรี,จับกุม,ฆ่าผู้อื่นโดยไม่เจตนา,11,6,10,5,10,15,21,24,23,15
ภาคกลาง,ชลบุรี,จับกุม,ทำให้ตายโดยประมาท,1,4,1,1,5,3,6,4,3,0
ภาคกลาง,ชลบุรี,จับกุม,พยายามฆ่า,62,49,56,56,36,54,73,66,76,44
ภาคกลาง,ชลบุรี,จับกุม,ทำร้ายร่างกาย,256,229,280,242,167,166,177,405,319,273
ภาคกลาง,ชลบุรี,จับกุม,ข่มขืนกระทำชำเรา,51,62,79,53,54,34,54,53,74,35
ภาคกลาง,ระยอง,รับแจ้ง,รวม,494,417,425,292,306,286,317,478,491,391
ภาคกลาง,ระยอง,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,46,61,51,38,30,24,36,30,27,21
ภาคกลาง,ระยอง,รับแจ้ง,ฆ่าผู้อื่นโดยไม่เจตนา,8,5,3,4,19,20,14,13,19,12
ภาคกลาง,ระยอง,รับแจ้ง,ทำให้ตายโดยประมาท,3,2,2,2,3,3,3,1,1,1
ภาคกลาง,ระยอง,รับแจ้ง,พยายามฆ่า,63,72,51,29,34,42,41,48,39,25
ภาคกลาง,ระยอง,รับแจ้ง,ทำร้ายร่างกาย,255,195,221,158,135,128,165,337,353,280
ภาคกลาง,ระยอง,รับแจ้ง,ข่มขืนกระทำชำเรา,119,82,97,61,85,69,58,49,52,52
ภาคกลาง,ระยอง,จับกุม,รวม,217,208,207,152,171,180,250,426,450,358
ภาคกลาง,ระยอง,จับกุม,ฆ่าผู้อื่นโดยเจตนา,22,32,29,27,16,19,23,22,25,17
ภาคกลาง,ระยอง,จับกุม,ฆ่าผู้อื่นโดยไม่เจตนา,2,3,1,3,10,14,10,10,14,8
ภาคกลาง,ระยอง,จับกุม,ทำให้ตายโดยประมาท,1,1,2,1,1,2,3,1,1,1
ภาคกลาง,ระยอง,จับกุม,พยายามฆ่า,28,37,21,12,20,17,29,36,31,20
ภาคกลาง,ระยอง,จับกุม,ทำร้ายร่างกาย,119,103,111,87,82,92,138,319,336,264
ภาคกลาง,ระยอง,จับกุม,ข่มขืนกระทำชำเรา,45,32,43,22,42,36,47,38,43,48
ภาคกลาง,จันทบุรี,รับแจ้ง,รวม,311,268,288,256,221,273,256,465,380,268
ภาคกลาง,จันทบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,25,39,28,44,35,24,30,11,20,12
ภาคกลาง,จันทบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยไม่เจตนา,4,0,7,5,6,7,8,3,2,6
ภาคกลาง,จันทบุรี,รับแจ้ง,ทำให้ตายโดยประมาท,4,2,4,2,1,2,4,3,2,4
ภาคกลาง,จันทบุรี,รับแจ้ง,พยายามฆ่า,50,37,40,41,29,43,36,27,24,22
ภาคกลาง,จันทบุรี,รับแจ้ง,ทำร้ายร่างกาย,167,127,156,106,106,163,126,383,309,181
ภาคกลาง,จันทบุรี,รับแจ้ง,ข่มขืนกระทำชำเรา,61,63,53,58,44,34,52,38,23,43
ภาคกลาง,จันทบุรี,จับกุม,รวม,166,128,131,129,126,191,211,441,356,246
ภาคกลาง,จันทบุรี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,8,19,13,27,26,17,24,9,18,11
ภาคกลาง,จันทบุรี,จับกุม,ฆ่าผู้อื่นโดยไม่เจตนา,3,0,4,4,5,5,6,2,2,5
ภาคกลาง,จันทบุรี,จับกุม,ทำให้ตายโดยประมาท,3,1,3,2,0,2,2,0,2,3
ภาคกลาง,จันทบุรี,จับกุม,พยายามฆ่า,22,14,15,16,16,22,29,25,20,18
ภาคกลาง,จันทบุรี,จับกุม,ทำร้ายร่างกาย,105,66,76,62,66,124,112,372,296,171
ภาคกลาง,จันทบุรี,จับกุม,ข่มขืนกระทำชำเรา,25,28,20,18,13,21,38,33,18,38
ภาคกลาง,ตราด,รับแจ้ง,รวม,224,239,201,180,150,130,146,206,173,111
ภาคกลาง,ตราด,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,15,12,10,13,16,14,9,9,6,5
ภาคกลาง,ตราด,รับแจ้ง,ฆ่าผู้อื่นโดยไม่เจตนา,0,3,3,1,4,8,6,3,8,2
ภาคกลาง,ตราด,รับแจ้ง,ทำให้ตายโดยประมาท,2,0,0,2,1,1,0,1,1,4
ภาคกลาง,ตราด,รับแจ้ง,พยายามฆ่า,23,21,22,20,12,13,23,19,8,7
ภาคกลาง,ตราด,รับแจ้ง,ทำร้ายร่างกาย,139,150,136,107,89,70,83,158,133,81
ภาคกลาง,ตราด,รับแจ้ง,ข่มขืนกระทำชำเรา,45,53,30,37,28,24,25,16,17,12
ภาคกลาง,ตราด,จับกุม,รวม,128,123,94,130,97,78,121,190,158,99
ภาคกลาง,ตราด,จับกุม,ฆ่าผู้อื่นโดยเจตนา,14,8,8,10,13,11,8,6,6,3
ภาคกลาง,ตราด,จับกุม,ฆ่าผู้อื่นโดยไม่เจตนา,0,2,2,1,1,6,6,1,6,2
ภาคกลาง,ตราด,จับกุม,ทำให้ตายโดยประมาท,1,0,0,2,1,1,0,1,1,4
ภาคกลาง,ตราด,จับกุม,พยายามฆ่า,14,13,15,15,7,10,20,15,6,6
ภาคกลาง,ตราด,จับกุม,ทำร้ายร่างกาย,77,75,55,78,55,34,68,153,126,75
ภาคกลาง,ตราด,จับกุม,ข่มขืนกระทำชำเรา,22,25,14,24,20,16,19,14,13,9
ภาคกลาง,ฉะเชิงเทรา,รับแจ้ง,รวม,492,387,424,348,313,347,255,479,407,311
ภาคกลาง,ฉะเชิงเทรา,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,59,44,40,35,42,43,30,25,11,14
ภาคกลาง,ฉะเชิงเทรา,รับแจ้ง,ฆ่าผู้อื่นโดยไม่เจตนา,4,1,2,1,4,10,6,12,12,7
ภาคกลาง,ฉะเชิงเทรา,รับแจ้ง,ทำให้ตายโดยประมาท,0,2,1,3,2,2,3,3,0,1
ภาคกลาง,ฉะเชิงเทรา,รับแจ้ง,พยายามฆ่า,109,58,67,59,53,69,41,54,49,30
ภาคกลาง,ฉะเชิงเทรา,รับแจ้ง,ทำร้ายร่างกาย,254,219,233,203,169,174,123,342,288,227
