ภาค,จังหวัด,ประเภทคดีอาชญากรรม,ประเภทความผิด,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559,
ภาคกลาง,สิงห์บุรี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,5,11,5,2,3,3,6,2,2,3,
ภาคกลาง,สิงห์บุรี,จับกุม,ปล้นทรัพย์,4,6,0,1,1,1,0,0,0,0,
ภาคกลาง,สิงห์บุรี,จับกุม,ชิงทรัพย์ (รวม),2,1,4,9,3,1,1,0,0,1,
ภาคกลาง,สิงห์บุรี,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,สิงห์บุรี,จับกุม,วางเพลิง,1,0,1,2,1,0,0,1,0,0,
ภาคกลาง,ชัยนาท,รับแจ้ง,รวม,31,18,25,26,25,19,15,15,8,12,
ภาคกลาง,ชัยนาท,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,26,12,18,18,15,16,10,8,3,11,
ภาคกลาง,ชัยนาท,รับแจ้ง,ปล้นทรัพย์,1,5,1,2,0,3,1,0,1,0,
ภาคกลาง,ชัยนาท,รับแจ้ง,ชิงทรัพย์ (รวม),3,0,5,6,6,0,3,7,3,1,
ภาคกลาง,ชัยนาท,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,ชัยนาท,รับแจ้ง,วางเพลิง,1,1,1,0,4,0,1,0,1,0,
ภาคกลาง,ชัยนาท,จับกุม,รวม,20,11,10,20,18,16,13,10,5,10,
ภาคกลาง,ชัยนาท,จับกุม,ฆ่าผู้อื่นโดยเจตนา,17,6,8,15,9,13,8,5,3,9,
ภาคกลาง,ชัยนาท,จับกุม,ปล้นทรัพย์,1,4,0,0,0,3,1,0,0,0,
ภาคกลาง,ชัยนาท,จับกุม,ชิงทรัพย์ (รวม),2,0,2,5,5,0,3,5,2,1,
ภาคกลาง,ชัยนาท,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,ชัยนาท,จับกุม,วางเพลิง,0,1,0,0,4,0,1,0,0,0,
ภาคกลาง,สระบุรี,รับแจ้ง,รวม,77,62,77,50,36,43,53,28,30,39,
ภาคกลาง,สระบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,42,38,48,34,22,31,31,14,11,27,
ภาคกลาง,สระบุรี,รับแจ้ง,ปล้นทรัพย์,9,6,15,2,3,2,3,4,0,2,
ภาคกลาง,สระบุรี,รับแจ้ง,ชิงทรัพย์ (รวม),22,18,13,13,8,10,17,9,16,8,
ภาคกลาง,สระบุรี,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,สระบุรี,รับแจ้ง,วางเพลิง,4,0,1,1,3,0,2,1,3,2,
ภาคกลาง,สระบุรี,จับกุม,รวม,51,41,54,28,18,30,42,21,18,29,
ภาคกลาง,สระบุรี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,27,23,28,18,10,21,23,9,9,22,
ภาคกลาง,สระบุรี,จับกุม,ปล้นทรัพย์,5,4,13,1,1,1,3,4,0,1,
ภาคกลาง,สระบุรี,จับกุม,ชิงทรัพย์ (รวม),16,14,12,9,6,8,14,7,8,4,
ภาคกลาง,สระบุรี,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,สระบุรี,จับกุม,วางเพลิง,3,0,1,0,1,0,2,1,1,2,
ภาคกลาง,ชลบุรี,รับแจ้ง,รวม,290,310,211,190,148,164,157,141,120,97,
ภาคกลาง,ชลบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,129,138,94,103,85,92,85,73,48,52,
ภาคกลาง,ชลบุรี,รับแจ้ง,ปล้นทรัพย์,41,49,25,20,13,30,22,19,14,11,
ภาคกลาง,ชลบุรี,รับแจ้ง,ชิงทรัพย์ (รวม),111,119,91,60,47,38,45,42,55,29,
ภาคกลาง,ชลบุรี,รับแจ้ง,ลักพาเรียกค่าไถ่,2,0,0,1,2,1,1,1,1,0,
ภาคกลาง,ชลบุรี,รับแจ้ง,วางเพลิง,7,4,1,6,2,3,4,6,2,5,
ภาคกลาง,ชลบุรี,จับกุม,รวม,128,163,118,140,70,102,107,98,98,77,
ภาคกลาง,ชลบุรี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,53,63,46,71,36,48,54,48,40,45,
ภาคกลาง,ชลบุรี,จับกุม,ปล้นทรัพย์,21,31,15,16,9,22,15,16,12,8,
ภาคกลาง,ชลบุรี,จับกุม,ชิงทรัพย์ (รวม),50,66,56,47,24,29,34,32,43,22,
ภาคกลาง,ชลบุรี,จับกุม,ลักพาเรียกค่าไถ่,1,0,0,1,1,0,1,0,1,0,
ภาคกลาง,ชลบุรี,จับกุม,วางเพลิง,3,3,1,5,1,3,3,2,2,2,
ภาคกลาง,ระยอง,รับแจ้ง,รวม,100,90,91,61,49,44,56,47,45,41,
ภาคกลาง,ระยอง,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,46,61,51,38,30,24,36,30,27,21,
ภาคกลาง,ระยอง,รับแจ้ง,ปล้นทรัพย์,15,7,10,5,5,8,3,5,4,5,
ภาคกลาง,ระยอง,รับแจ้ง,ชิงทรัพย์ (รวม),36,19,26,16,13,9,15,11,13,13,
ภาคกลาง,ระยอง,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,1,0,0,0,0,0,0,
ภาคกลาง,ระยอง,รับแจ้ง,วางเพลิง,3,3,4,1,1,3,2,1,1,2,
ภาคกลาง,ระยอง,จับกุม,รวม,51,54,59,47,33,35,41,35,42,35,
ภาคกลาง,ระยอง,จับกุม,ฆ่าผู้อื่นโดยเจตนา,22,32,29,27,16,19,23,22,25,17,
ภาคกลาง,ระยอง,จับกุม,ปล้นทรัพย์,10,6,7,3,5,7,3,5,4,4,
ภาคกลาง,ระยอง,จับกุม,ชิงทรัพย์ (รวม),18,13,21,15,12,6,13,7,12,12,
ภาคกลาง,ระยอง,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,1,0,0,0,0,0,0,
ภาคกลาง,ระยอง,จับกุม,วางเพลิง,1,3,2,1,0,3,2,1,1,2,
ภาคกลาง,จันทบุรี,รับแจ้ง,รวม,44,45,36,58,43,31,34,17,25,18,
ภาคกลาง,จันทบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,25,39,28,44,35,24,30,11,20,12,
ภาคกลาง,จันทบุรี,รับแจ้ง,ปล้นทรัพย์,6,1,2,5,1,2,3,1,1,2,
ภาคกลาง,จันทบุรี,รับแจ้ง,ชิงทรัพย์ (รวม),11,5,5,7,3,5,1,3,3,2,
ภาคกลาง,จันทบุรี,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,จันทบุรี,รับแจ้ง,วางเพลิง,2,0,1,2,4,0,0,2,1,2,
ภาคกลาง,จันทบุรี,จับกุม,รวม,19,23,18,36,29,23,26,15,23,16,
ภาคกลาง,จันทบุรี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,8,19,13,27,26,17,24,9,18,11,
ภาคกลาง,จันทบุรี,จับกุม,ปล้นทรัพย์,5,0,2,3,1,1,2,1,1,2,
