ภาค,จังหวัด,ระดับการศึกษา,สายการศึกษา,รวม
ภาคกลาง,ชัยนาท,ระดับอุดมศึกษา,สายวิชาชีพ,13169.2
ภาคกลาง,ชัยนาท,ระดับอุดมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,5955.2775
ภาคกลาง,ชัยนาท,การศึกษาอื่น ๆ,สายวิชาการศึกษาระดับมหาวิทยาลัย,0
ภาคกลาง,ชัยนาท,ไม่ทราบ,สายวิชาการศึกษาระดับมหาวิทยาลัย,451.51
ภาคกลาง,สระบุรี,รวม,สายวิชาการศึกษาระดับมหาวิทยาลัย,597214.25
ภาคกลาง,สระบุรี,ไม่ได้เรียน,สายวิชาการศึกษาระดับมหาวิทยาลัย,17500.835
ภาคกลาง,สระบุรี,ก่อนประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,116602.24
ภาคกลาง,สระบุรี,ระดับประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,102907.4575
ภาคกลาง,สระบุรี,ระดับมัธยมศึกษาตอนต้น,สายวิชาการศึกษาระดับมหาวิทยาลัย,121720.7975
ภาคกลาง,สระบุรี,ระดับมัธยมศึกษาตอนปลาย,สายสามัญ,79561.8375
ภาคกลาง,สระบุรี,ระดับมัธยมศึกษาตอนปลาย,สายอาชีวศึกษา,32577.2825
ภาคกลาง,สระบุรี,ระดับมัธยมศึกษาตอนปลาย,สายวิชาการศึกษา,107.1375
ภาคกลาง,สระบุรี,ระดับอุดมศึกษา,สายวิชาการ,62890.29
ภาคกลาง,สระบุรี,ระดับอุดมศึกษา,สายวิชาชีพ,52281.08
ภาคกลาง,สระบุรี,ระดับอุดมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,10972.62
ภาคกลาง,สระบุรี,การศึกษาอื่น ๆ,สายวิชาการศึกษาระดับมหาวิทยาลัย,0
ภาคกลาง,สระบุรี,ไม่ทราบ,สายวิชาการศึกษาระดับมหาวิทยาลัย,92.67
ภาคกลาง,ชลบุรี,รวม,สายวิชาการศึกษาระดับมหาวิทยาลัย,1520038.75
ภาคกลาง,ชลบุรี,ไม่ได้เรียน,สายวิชาการศึกษาระดับมหาวิทยาลัย,35149.815
ภาคกลาง,ชลบุรี,ก่อนประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,193642.5525
ภาคกลาง,ชลบุรี,ระดับประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,208274.66
ภาคกลาง,ชลบุรี,ระดับมัธยมศึกษาตอนต้น,สายวิชาการศึกษาระดับมหาวิทยาลัย,336695.795
ภาคกลาง,ชลบุรี,ระดับมัธยมศึกษาตอนปลาย,สายสามัญ,275337.5
ภาคกลาง,ชลบุรี,ระดับมัธยมศึกษาตอนปลาย,สายอาชีวศึกษา,84903.35
ภาคกลาง,ชลบุรี,ระดับมัธยมศึกษาตอนปลาย,สายวิชาการศึกษา,111.4775
ภาคกลาง,ชลบุรี,ระดับอุดมศึกษา,สายวิชาการ,205875.0325
ภาคกลาง,ชลบุรี,ระดับอุดมศึกษา,สายวิชาชีพ,109812.2175
