,กัญชาแห้ง,18,32,48,74,27,76,39,35,7,113,109,
,พืชกระท่อม,2,4,6,5,0,3,1,2,0,12,0,
,เมทแอมเฟตามีน,858,"1,582","1,350",873,422,705,380,430,67,496,592,
,ไอซ์,59,123,106,73,23,80,63,114,47,887,864,
,โคคาอีน (โคเคน),0,4,0,0,0,0,0,1,0,0,0,
,คีตามีน,2,1,1,1,3,0,1,1,0,4,0,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
ราชบุรี,รวม,"3,372","1,811","2,537","1,157",707,"1,785","2,136","2,871","2,385","1,831","2,029",
,เฮโรอีน,0,0,1,0,0,1,0,0,8,14,53,
,เอ็กซ์ตาซี,0,0,0,0,0,4,1,1,10,2,6,
,กัญชาแห้ง,79,67,189,47,31,83,71,79,82,109,116,
,พืชกระท่อม,19,4,15,3,4,16,12,11,15,28,10,
,เมทแอมเฟตามีน,"3,064","1,623","2,226","1,042",627,"1,601","1,953","2,585","1,999","1,201","1,560",
,ไอซ์,209,117,106,65,45,80,95,178,233,446,265,
,โคคาอีน (โคเคน),1,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,0,0,0,0,0,0,4,17,38,31,19,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
กาญจนบุรี,รวม,"2,204","1,955","1,794","1,051","1,029","1,276","1,008","2,472",677,551,"1,761",
,เฮโรอีน,1,0,0,0,0,0,1,27,22,29,174,
,เอ็กซ์ตาซี,0,0,5,0,0,0,1,1,1,2,2,
,กัญชาแห้ง,78,55,47,37,43,39,32,174,10,16,131,
,พืชกระท่อม,4,3,6,0,6,3,0,11,1,2,4,
,เมทแอมเฟตามีน,"2,001","1,833","1,680",947,942,"1,163",846,"1,959",533,411,"1,281",
,ไอซ์,120,64,56,67,38,71,127,292,103,81,152,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,0,0,0,0,0,0,1,8,7,10,17,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
สุพรรณบุรี,รวม,"3,183","3,572","3,876","2,096",578,"1,950","1,080",687,375,"2,572","2,487",
,เฮโรอีน,2,1,0,1,0,0,0,0,1,9,21,
,เอ็กซ์ตาซี,0,1,1,0,0,3,1,1,1,5,7,
,กัญชาแห้ง,146,284,603,213,9,141,43,16,5,174,200,
,พืชกระท่อม,7,17,15,20,3,24,6,3,0,14,7,
,เมทแอมเฟตามีน,"2,849","2,877","2,977","1,681",515,"1,615",916,552,262,"1,568","1,776",
,ไอซ์,179,392,279,181,50,161,110,111,102,758,443,
